experiment_name,training_time_s,accuracy,precision,recall,f1_deceptive,f1_macro,roc_auc
Word TF-IDF + LogisticRegression,6.570669651031494,0.7271641791044776,0.8598664069023101,0.738143590968821,0.7943690942983865,0.6945366312743675,0.7891022203967226
Word TF-IDF + MultinomialNB,6.016273021697998,0.7359488272921109,0.7408895789569824,0.9690598494803488,0.8397515527950311,0.5450573744604695,0.749546415140951
Word TF-IDF + LinearSVC,7.204905271530151,0.7159914712153518,0.8514851485148515,0.7294230080038228,0.7857418607643804,0.6823246481363632,0.7742477881905807
Char TF-IDF + LinearSVC,32.27247142791748,0.7225586353944563,0.8535507046145344,0.7380241309282045,0.7915945928630918,0.6883620203188052,0.7808963413813214
Combined Features + LogisticRegression,13.897469520568848,0.7483155650319829,0.8659195247096948,0.7660972404730617,0.8129555682322368,0.7141801169715856,0.8050138775240386
